time,geo,value
2011,Austria,28.96
2012,Austria,29.29
2013,Austria,29.83
2014,Austria,30.0
2015,Austria,29.97
2016,Austria,29.91
2017,Austria,29.48
2018,Austria,29.21
2019,Austria,29.37
2020,Austria,34.08
2021,Austria,32.83
2022,Austria,30.45
2011,Belgium,29.71
2012,Belgium,29.55
2013,Belgium,29.9
2014,Belgium,29.86
2015,Belgium,29.91
2016,Belgium,29.35
2017,Belgium,28.95
2018,Belgium,28.76
2019,Belgium,28.63
2020,Belgium,32.46
2021,Belgium,30.12
2022,Belgium,28.55
2011,Bulgaria,16.43
2012,Bulgaria,16.46
2013,Bulgaria,17.56
2014,Bulgaria,18.39
2015,Bulgaria,17.65
2016,Bulgaria,17.33
2017,Bulgaria,16.82
2018,Bulgaria,16.86
2019,Bulgaria,16.61
2020,Bulgaria,18.61
2021,Bulgaria,18.81
2022,Bulgaria,18.64
2011,Croatia,20.58
2012,Croatia,21.14
2013,Croatia,20.87
2014,Croatia,21.4
2015,Croatia,21.39
2016,Croatia,21.43
2017,Croatia,21.12
2018,Croatia,21.14
2019,Croatia,21.15
2020,Croatia,23.94
2021,Croatia,22.42
2022,Croatia,20.9
2011,Cyprus,20.03
2012,Cyprus,20.83
2013,Cyprus,22.92
2014,Cyprus,20.09
2015,Cyprus,19.9
2016,Cyprus,19.31
2017,Cyprus,18.31
2018,Cyprus,17.53
2019,Cyprus,18.31
2020,Cyprus,24.25
2021,Cyprus,21.65
2022,Cyprus,19.81
2011,Czechia,19.69
2012,Czechia,20.18
2013,Czechia,19.82
2014,Czechia,19.37
2015,Czechia,18.72
2016,Czechia,18.56
2017,Czechia,18.09
2018,Czechia,18.24
2019,Czechia,18.49
2020,Czechia,21.51
2021,Czechia,21.18
2022,Czechia,19.94
2011,Denmark,33.44
2012,Denmark,33.69
2013,Denmark,34.38
2014,Denmark,34.38
2015,Denmark,33.81
2016,Denmark,32.56
2017,Denmark,32.1
2018,Denmark,31.92
2019,Denmark,31.81
2020,Denmark,33.44
2021,Denmark,31.01
2022,Denmark,28.06
2011,Estonia,15.55
2012,Estonia,14.88
2013,Estonia,14.66
2014,Estonia,14.67
2015,Estonia,15.83
2016,Estonia,16.23
2017,Estonia,15.64
2018,Estonia,16.04
2019,Estonia,16.11
2020,Estonia,18.94
2021,Estonia,17.23
2022,Estonia,15.74
2011,Finland,28.76
2012,Finland,30.02
2013,Finland,31.11
2014,Finland,31.84
2015,Finland,31.96
2016,Finland,31.91
2017,Finland,30.75
2018,Finland,30.28
2019,Finland,30.24
2020,Finland,32.1
2021,Finland,31.29
2022,Finland,30.08
2011,France,32.99
2012,France,33.84
2013,France,34.17
2014,France,34.42
2015,France,34.2
2016,France,34.32
2017,France,34.09
2018,France,33.82
2019,France,33.48
2020,France,38.0
2021,France,35.73
2022,France,33.98
2011,Germany,28.2
2012,Germany,28.31
2013,Germany,28.67
2014,Germany,28.51
2015,Germany,28.79
2016,Germany,29.04
2017,Germany,28.93
2018,Germany,29.1
2019,Germany,29.55
2020,Germany,32.39
2021,Germany,31.4
2022,Germany,30.01
2011,Greece,27.83
2012,Greece,28.96
2013,Greece,26.9
2014,Greece,26.24
2015,Greece,26.43
2016,Greece,26.6
2017,Greece,25.61
2018,Greece,25.33
2019,Greece,25.19
2020,Greece,29.05
2021,Greece,26.63
2022,Greece,24.14
2011,Hungary,21.47
2012,Hungary,21.19
2013,Hungary,20.7
2014,Hungary,19.68
2015,Hungary,18.95
2016,Hungary,18.73
2017,Hungary,18.16
2018,Hungary,17.52
2019,Hungary,16.52
2020,Hungary,18.16
2021,Hungary,17.64
2022,Hungary,16.67
2011,Iceland,23.07
2012,Iceland,22.82
2013,Iceland,22.49
2014,Iceland,22.96
2015,Iceland,22.07
2016,Iceland,22.13
2017,Iceland,23.39
2018,Iceland,23.97
2019,Iceland,25.05
2020,Iceland,30.49
2021,Iceland,29.35
2022,Iceland,25.91
2011,Ireland,24.26
2012,Ireland,23.86
2013,Ireland,22.47
2014,Ireland,20.67
2015,Ireland,15.58
2016,Ireland,15.65
2017,Ireland,14.54
2018,Ireland,13.8
2019,Ireland,13.37
2020,Ireland,15.0
2021,Ireland,13.15
2022,Ireland,11.37
2011,Italy,27.93
2012,Italy,28.71
2013,Italy,29.29
2014,Italy,29.49
2015,Italy,29.54
2016,Italy,29.01
2017,Italy,28.73
2018,Italy,28.74
2019,Italy,29.09
2020,Italy,34.17
2021,Italy,31.42
2022,Italy,29.75
2011,Latvia,16.15
2012,Latvia,14.81
2013,Latvia,15.13
2014,Latvia,14.98
2015,Latvia,15.31
2016,Latvia,15.46
2017,Latvia,15.28
2018,Latvia,15.75
2019,Latvia,16.15
2020,Latvia,17.99
2021,Latvia,19.97
2022,Latvia,18.86
2011,Lithuania,17.13
2012,Lithuania,16.39
2013,Lithuania,15.44
2014,Lithuania,15.41
2015,Lithuania,15.62
2016,Lithuania,15.41
2017,Lithuania,15.08
2018,Lithuania,15.69
2019,Lithuania,16.36
2020,Lithuania,19.31
2021,Lithuania,18.41
2022,Lithuania,16.59
2011,Luxembourg,20.89
2012,Luxembourg,21.24
2013,Luxembourg,21.36
2014,Luxembourg,21.12
2015,Luxembourg,20.67
2016,Luxembourg,20.33
2017,Luxembourg,20.98
2018,Luxembourg,21.38
2019,Luxembourg,21.75
2020,Luxembourg,24.26
2021,Luxembourg,21.69
2022,Luxembourg,22.18
2011,Malta,18.71
2012,Malta,18.65
2013,Malta,18.12
2014,Malta,17.64
2015,Malta,16.24
2016,Malta,16.11
2017,Malta,14.79
2018,Malta,14.22
2019,Malta,14.39
2020,Malta,18.5
2021,Malta,16.69
2022,Malta,14.41
2011,Netherlands,30.59
2012,Netherlands,31.15
2013,Netherlands,31.29
2014,Netherlands,30.96
2015,Netherlands,29.92
2016,Netherlands,29.4
2017,Netherlands,28.82
2018,Netherlands,28.38
2019,Netherlands,28.19
2020,Netherlands,31.99
2021,Netherlands,30.11
2022,Netherlands,27.12
2011,Norway,24.07
2012,Norway,23.85
2013,Norway,24.38
2014,Norway,25.24
2015,Norway,27.07
2016,Norway,28.38
2017,Norway,27.6
2018,Norway,26.53
2019,Norway,27.59
2020,Norway,30.71
2021,Norway,25.9
2022,Norway,20.45
2011,Poland,18.73
2012,Poland,18.95
2013,Poland,19.79
2014,Poland,19.42
2015,Poland,19.3
2016,Poland,20.95
2017,Poland,20.17
2018,Poland,19.47
2019,Poland,20.96
2020,Poland,23.4
2021,Poland,22.61
2022,Poland,20.95
2011,Portugal,25.74
2012,Portugal,26.36
2013,Portugal,27.55
2014,Portugal,26.85
2015,Portugal,25.75
2016,Portugal,25.1
2017,Portugal,24.68
2018,Portugal,24.03
2019,Portugal,23.99
2020,Portugal,27.43
2021,Portugal,26.78
2022,Portugal,24.67
2011,Romania,15.78
2012,Romania,14.72
2013,Romania,15.01
2014,Romania,14.74
2015,Romania,14.58
2016,Romania,14.87
2017,Romania,14.88
2018,Romania,14.89
2019,Romania,15.18
2020,Romania,17.67
2021,Romania,16.59
2022,Romania,16.5
2011,Serbia,20.6
2012,Serbia,21.72
2013,Serbia,21.0
2014,Serbia,21.09
2015,Serbia,19.84
2016,Serbia,19.54
2017,Serbia,18.69
2018,Serbia,18.63
2019,Serbia,18.64
2020,Serbia,20.93
2021,Serbia,19.26
2022,Serbia,18.54
2011,Slovakia,17.58
2012,Slovakia,17.76
2013,Slovakia,18.18
2014,Slovakia,18.36
2015,Slovakia,17.88
2016,Slovakia,18.26
2017,Slovakia,18.11
2018,Slovakia,17.82
2019,Slovakia,17.81
2020,Slovakia,19.4
2021,Slovakia,19.03
2022,Slovakia,18.18
2011,Slovenia,24.61
2012,Slovenia,24.95
2013,Slovenia,24.86
2014,Slovenia,24.12
2015,Slovenia,23.98
2016,Slovenia,23.49
2017,Slovenia,22.82
2018,Slovenia,22.4
2019,Slovenia,22.43
2020,Slovenia,26.38
2021,Slovenia,25.24
2022,Slovenia,24.25
2011,Spain,25.37
2012,Spain,25.57
2013,Spain,25.82
2014,Spain,25.36
2015,Spain,24.49
2016,Spain,23.65
2017,Spain,23.27
2018,Spain,23.42
2019,Spain,23.95
2020,Spain,29.78
2021,Spain,27.78
2022,Spain,25.87
2011,Sweden,28.12
2012,Sweden,29.16
2013,Sweden,29.95
2014,Sweden,29.55
2015,Sweden,29.14
2016,Sweden,29.48
2017,Sweden,28.99
2018,Sweden,28.53
2019,Sweden,27.86
2020,Sweden,29.47
2021,Sweden,27.96
2022,Sweden,27.23
2011,Switzerland,24.49
2012,Switzerland,24.94
2013,Switzerland,25.87
2014,Switzerland,26.07
2015,Switzerland,26.85
2016,Switzerland,27.23
2017,Switzerland,27.59
2018,Switzerland,27.07
2019,Switzerland,27.65
2020,Switzerland,31.43
2021,Switzerland,29.65
2022,Switzerland,28.38
